geofence_name,day_of_week,hour_of_day,supply_hours,active_drivers,total_fare,total_trips,completed_trips,Hour of week,fares/hour,,
Marin,FRIDAY   ,0,32.19472222,124,550.08,35,26,96,17.08603032,,
Marin,FRIDAY   ,1,30.86527778,77,596.03,39,23,97,19.31069613,MONDAY   ,0
Marin,FRIDAY   ,2,12.73444444,47,142.8,10,6,98,11.21368118,TUESDAY  ,24
Marin,FRIDAY   ,3,12.13444444,31,152.37,7,4,99,12.55681714,WEDNESDAY,48
Marin,FRIDAY   ,4,18.68388889,38,630.16,23,20,100,33.72745384,THURSDAY ,72
Marin,FRIDAY   ,5,33.62444444,55,1286.59,29,28,101,38.26353182,FRIDAY   ,96
Marin,FRIDAY   ,6,62.30555556,90,1324.58,48,43,102,21.25942042,SATURDAY ,120
Marin,FRIDAY   ,7,79.60472222,106,2120.52,87,74,103,26.6381182,SUNDAY   ,144
Marin,FRIDAY   ,8,92.00194444,137,2804.33,130,113,104,30.4812036,,
Marin,FRIDAY   ,9,85.05,144,2351.63,107,90,105,27.64997061,,
Marin,FRIDAY   ,10,89.01027778,166,3261.63,121,112,106,36.6432965,,
Marin,FRIDAY   ,11,80.94666667,158,2626.23,106,79,107,32.44395487,,
Marin,FRIDAY   ,12,87.28638889,177,2049.24,109,87,108,23.47719989,,
Marin,FRIDAY   ,13,90.38555556,166,2961.18,133,104,109,32.76165071,,
Marin,FRIDAY   ,14,90.56277778,196,3230.47,186,130,110,35.67105691,,
Marin,FRIDAY   ,15,98.92055556,194,2945.14,173,120,111,29.77278063,,
Marin,FRIDAY   ,16,110.9738889,205,4058.52,193,128,112,36.57184623,,
Marin,FRIDAY   ,17,126.7530556,224,4918.22,227,177,113,38.80158927,,
Marin,FRIDAY   ,18,145.0466667,252,5224.88,255,195,114,36.02206187,,
Marin,FRIDAY   ,19,129.9866667,246,4150.91,210,168,115,31.93335214,,
Marin,FRIDAY   ,20,146.7380556,260,4316.64,253,203,116,29.41731771,,
Marin,FRIDAY   ,21,133.0966667,263,4100.89,237,190,117,30.81136517,,
Marin,FRIDAY   ,22,128.9652778,256,4449.1,269,201,118,34.49843304,,
Marin,FRIDAY   ,23,109.1386111,237,3746.69,238,177,119,34.32964706,,
Marin,MONDAY   ,0,13.0375,67,186.88,14,9,0,14.33403643,,
Marin,MONDAY   ,1,10.25638889,34,102.9,4,3,1,10.0327709,,
Marin,MONDAY   ,2,2.659722222,10,47.26,6,4,2,17.76877285,,
Marin,MONDAY   ,3,12.00583333,28,707.17,18,14,3,58.90220032,,
Marin,MONDAY   ,4,28.69055556,43,1158.57,28,23,4,40.38158124,,
Marin,MONDAY   ,5,38.22277778,51,1976.66,43,38,5,51.7141902,,
Marin,MONDAY   ,6,65.14722222,87,3770.62,69,62,6,57.87844625,,
Marin,MONDAY   ,7,74.72888889,111,2596.92,70,61,7,34.75121922,,
Marin,MONDAY   ,8,87.70666667,115,3076.18,108,95,8,35.07350258,,
Marin,MONDAY   ,9,68.52527778,112,2272.68,90,76,9,33.1655715,,
Marin,MONDAY   ,10,80.03944444,149,2648.14,85,78,10,33.08543704,,
Marin,MONDAY   ,11,93.01055556,148,2926.42,120,101,11,31.46331062,,
Marin,MONDAY   ,12,80.19638889,162,2095.55,97,80,12,26.13022892,,
Marin,MONDAY   ,13,66.3875,150,1765.43,72,64,13,26.59280738,,
Marin,MONDAY   ,14,73.25166667,143,2246.43,105,78,14,30.66728857,,
Marin,MONDAY   ,15,74.36722222,162,1969.7,101,72,15,26.48613114,,
Marin,MONDAY   ,16,93.9475,168,2319.04,138,105,16,24.68442481,,
Marin,MONDAY   ,17,89.4975,161,2262.55,135,107,17,25.28059443,,
Marin,MONDAY   ,18,83.20333333,159,1607.34,91,74,18,19.31821642,,
Marin,MONDAY   ,19,78.43138889,168,1823.03,104,90,19,23.24362766,,
Marin,MONDAY   ,20,75.06972222,173,2399.82,106,89,20,31.96788171,,
Marin,MONDAY   ,21,55.05111111,159,948.22,70,47,21,17.22435716,,
Marin,MONDAY   ,22,40.01527778,133,1073.44,65,52,22,26.82575405,,
Marin,MONDAY   ,23,30.26472222,99,807.79,55,42,23,26.69081163,,
Marin,SATURDAY ,0,103.9638889,233,2078.9,162,113,120,19.99636626,,
Marin,SATURDAY ,1,48.85944444,137,941.35,90,57,121,19.26649005,,
Marin,SATURDAY ,2,26.67027778,88,563.64,47,28,122,21.13363815,,
Marin,SATURDAY ,3,13.90916667,52,256.79,26,13,123,18.46192559,,
Marin,SATURDAY ,4,15.54472222,44,582.02,19,13,124,37.44164686,,
Marin,SATURDAY ,5,14.06638889,28,399.11,10,8,125,28.37330911,,
Marin,SATURDAY ,6,23.53166667,38,1838.1,49,45,126,78.11176429,,
Marin,SATURDAY ,7,43.98111111,80,1607.25,64,47,127,36.54409721,,
Marin,SATURDAY ,8,62.32472222,108,2513.69,121,91,128,40.33214927,,
Marin,SATURDAY ,9,76.09638889,150,1879.37,121,83,129,24.69722976,,
Marin,SATURDAY ,10,89.03916667,167,4128.61,145,131,130,46.3684708,,
Marin,SATURDAY ,11,106.1508333,180,3184.37,172,124,131,29.99853981,,
Marin,SATURDAY ,12,97.56916667,202,2752.05,162,118,132,28.20614436,,
Marin,SATURDAY ,13,110.4227778,225,3505.61,171,143,133,31.74716368,,
Marin,SATURDAY ,14,127.2511111,265,4048.74,223,168,134,31.8169324,,
Marin,SATURDAY ,15,138.3580556,273,4485.98,217,164,135,32.42297662,,
Marin,SATURDAY ,16,134.8383333,246,5885.63,252,173,136,43.64953092,,
Marin,SATURDAY ,17,164.3580556,264,9394.09,290,217,137,57.15624931,,
Marin,SATURDAY ,18,175.6436111,289,7649.87,280,224,138,43.55336327,,
Marin,SATURDAY ,19,139.4552778,264,5557.23,243,207,139,39.84954954,,
Marin,SATURDAY ,20,124.5041667,231,4535.67,242,176,140,36.42986513,,
Marin,SATURDAY ,21,124.9080556,208,6844.54,271,204,141,54.79662596,,
Marin,SATURDAY ,22,150.5266667,236,10060.25,390,288,142,66.83367288,,
Marin,SATURDAY ,23,194.5852778,267,5656.01,290,214,143,29.06699862,,
Marin,SUNDAY   ,0,107.1213889,244,3291.53,201,146,144,30.72710347,,
Marin,SUNDAY   ,1,79.27527778,179,2485.12,156,111,145,31.34798224,,
Marin,SUNDAY   ,2,39.89472222,132,772.7,75,47,146,19.36847675,,
Marin,SUNDAY   ,3,20.85111111,77,556.95,32,22,147,26.71080678,,
Marin,SUNDAY   ,4,18.62583333,42,363.32,19,14,148,19.50624133,,
Marin,SUNDAY   ,5,13.98194444,28,506.53,19,16,149,36.22743618,,
Marin,SUNDAY   ,6,23.77416667,40,807.74,22,19,150,33.97553367,,
Marin,SUNDAY   ,7,32.14472222,65,1255.28,43,35,151,39.05088964,,
Marin,SUNDAY   ,8,55.63361111,100,2062.06,69,57,152,37.06500367,,
Marin,SUNDAY   ,9,67.20861111,117,2401.51,85,63,153,35.73217718,,
Marin,SUNDAY   ,10,77.36194444,136,3083.77,108,85,154,39.86158856,,
Marin,SUNDAY   ,11,88.47888889,167,2525.32,109,93,155,28.54149766,,
Marin,SUNDAY   ,12,89.71305556,183,2969.37,110,91,156,33.09852709,,
Marin,SUNDAY   ,13,89.66722222,190,2396.72,132,97,157,26.72905372,,
Marin,SUNDAY   ,14,98.10777778,193,3065.78,155,105,158,31.24910246,,
Marin,SUNDAY   ,15,91.39361111,178,2791.34,148,108,159,30.54195984,,
Marin,SUNDAY   ,16,99.55694444,184,3752.62,155,119,160,37.69320182,,
Marin,SUNDAY   ,17,100.1913889,186,3304.94,136,103,161,32.98626795,,
Marin,SUNDAY   ,18,107.2408333,185,3583.6,151,112,162,33.41637591,,
Marin,SUNDAY   ,19,86.34527778,184,2380.35,130,91,163,27.56780754,,
Marin,SUNDAY   ,20,84.94416667,154,3271.93,135,108,164,38.51859555,,
Marin,SUNDAY   ,21,64.56972222,143,2215.74,86,63,165,34.31546433,,
Marin,SUNDAY   ,22,43.90305556,134,1270.39,64,49,166,28.93625475,,
Marin,SUNDAY   ,23,28.93194444,95,862.54,48,38,167,29.81272142,,
Marin,THURSDAY ,0,26.60166667,95,345.65,35,23,72,12.99354677,,
Marin,THURSDAY ,1,17.30444444,55,366.9,30,15,73,21.20264543,,
Marin,THURSDAY ,2,10.67888889,38,65.65,9,4,74,6.147643325,,
Marin,THURSDAY ,3,17.47444444,23,463.57,12,10,75,26.52845425,,
Marin,THURSDAY ,4,25.20111111,33,206.76,7,6,76,8.204400159,,
Marin,THURSDAY ,5,40.14083333,48,1353.22,41,35,77,33.71180635,,
Marin,THURSDAY ,6,69.4575,100,2153.4,55,49,78,31.00313141,,
Marin,THURSDAY ,7,95.445,114,2966.4,102,82,79,31.0796794,,
Marin,THURSDAY ,8,91.20638889,133,2329.79,100,89,80,25.54415352,,
Marin,THURSDAY ,9,75.23,125,2114.13,94,77,81,28.10221986,,
Marin,THURSDAY ,10,87.5725,135,2258.56,94,84,82,25.79074481,,
Marin,THURSDAY ,11,89.77638889,151,2174.61,118,94,83,24.22251582,,
Marin,THURSDAY ,12,94.12611111,155,1938.66,107,83,84,20.59641025,,
Marin,THURSDAY ,13,76.71,161,1695.76,93,72,85,22.10611394,,
Marin,THURSDAY ,14,88.25222222,169,2459.75,127,103,86,27.87181941,,
Marin,THURSDAY ,15,92.50916667,189,2426.05,150,112,87,26.2249687,,
Marin,THURSDAY ,16,110.7758333,203,2940.4,159,127,88,26.5436956,,
Marin,THURSDAY ,17,123.7838889,203,4886.97,177,147,89,39.47985512,,
Marin,THURSDAY ,18,106.2677778,206,3315.92,156,122,90,31.20343786,,
Marin,THURSDAY ,19,93.32277778,196,3028.52,154,125,91,32.45209875,,
Marin,THURSDAY ,20,101.7444444,221,2666.06,150,107,92,26.20349459,,
Marin,THURSDAY ,21,84.53583333,226,2337.66,118,96,93,27.65288881,,
Marin,THURSDAY ,22,72.63555556,207,1726.5,124,96,94,23.76935079,,
Marin,THURSDAY ,23,58.27361111,186,1304.2,81,62,95,22.38062779,,
Marin,TUESDAY  ,0,19.61638889,78,215.99,20,13,24,11.01069117,,
Marin,TUESDAY  ,1,7.867777778,38,122.41,8,5,25,15.55839571,,
Marin,TUESDAY  ,2,2.910555556,16,43.62,3,2,26,14.98682955,,
Marin,TUESDAY  ,3,6.426111111,21,195.72,4,4,27,30.45698971,,
Marin,TUESDAY  ,4,14.36888889,28,628.07,16,15,28,43.71040829,,
Marin,TUESDAY  ,5,34.55666667,52,1180.05,30,28,29,34.1482589,,
Marin,TUESDAY  ,6,66.26472222,96,2458.12,58,51,30,37.09545468,,
Marin,TUESDAY  ,7,74.45166667,103,1681.21,73,58,31,22.58122719,,
Marin,TUESDAY  ,8,73.77111111,113,2000.15,80,75,32,27.11291683,,
Marin,TUESDAY  ,9,94.20361111,131,2224.5,98,79,33,23.61374446,,
Marin,TUESDAY  ,10,88.75916667,140,2498.47,99,84,34,28.14886725,,
Marin,TUESDAY  ,11,75.06916667,154,1816.84,77,68,35,24.20221351,,
Marin,TUESDAY  ,12,81.51555556,143,1674.03,74,61,36,20.53632572,,
Marin,TUESDAY  ,13,68.16444444,142,2068.97,100,83,37,30.35262763,,
Marin,TUESDAY  ,14,72.74916667,146,1213,64,52,38,16.67373051,,
Marin,TUESDAY  ,15,84.02527778,176,2464.58,114,85,39,29.33141151,,
Marin,TUESDAY  ,16,95.47305556,179,2547,137,101,40,26.67768393,,
Marin,TUESDAY  ,17,104.5136111,187,2732.76,143,115,41,26.1474077,,
Marin,TUESDAY  ,18,89.58388889,184,1766.3,126,96,42,19.71671494,,
Marin,TUESDAY  ,19,83.80916667,186,1774.89,127,95,43,21.17775502,,
Marin,TUESDAY  ,20,99.70638889,203,2674.68,125,105,44,26.82556283,,
Marin,TUESDAY  ,21,64.98333333,179,1483.84,90,64,45,22.83416261,,
Marin,TUESDAY  ,22,60.85305556,170,1361.19,69,54,46,22.36847415,,
Marin,TUESDAY  ,23,41.67472222,128,1010.03,63,49,47,24.23603437,,
Marin,WEDNESDAY,0,24.89638889,96,310.46,23,14,48,12.47008156,,
Marin,WEDNESDAY,1,12.95027778,46,221.3,17,12,49,17.08843654,,
Marin,WEDNESDAY,2,2.493611111,14,11.45,1,1,50,4.591734432,,
Marin,WEDNESDAY,3,15.03138889,27,107.84,3,3,51,7.174320404,,
Marin,WEDNESDAY,4,26.57888889,37,576.53,16,13,52,21.69127545,,
Marin,WEDNESDAY,5,31.92805556,43,959.91,21,20,53,30.06478106,,
Marin,WEDNESDAY,6,62.13944444,95,2088.35,69,54,54,33.60747781,,
Marin,WEDNESDAY,7,66.44888889,96,1924.36,71,58,55,28.96000268,,
Marin,WEDNESDAY,8,88.52222222,124,3126.72,112,88,56,35.32130036,,
Marin,WEDNESDAY,9,84.37277778,132,2584.18,99,86,57,30.62812519,,
Marin,WEDNESDAY,10,87.12472222,173,2172.72,95,73,58,24.93804221,,
Marin,WEDNESDAY,11,88.49805556,148,1949.56,90,79,59,22.02941056,,
Marin,WEDNESDAY,12,73.08833333,148,1535.01,78,56,60,21.00212072,,
Marin,WEDNESDAY,13,64.54138889,140,1680.27,94,75,61,26.03399197,,
Marin,WEDNESDAY,14,94.89444444,178,2145.73,109,80,62,22.61175575,,
Marin,WEDNESDAY,15,103.0991667,192,2129.77,127,98,63,20.65748996,,
Marin,WEDNESDAY,16,98.95,202,3010.58,160,123,64,30.42526529,,
Marin,WEDNESDAY,17,98.01,183,3361.43,166,126,65,34.29680645,,
Marin,WEDNESDAY,18,102.005,187,2709.88,158,123,66,26.56614872,,
Marin,WEDNESDAY,19,92.0025,212,1805.63,112,93,67,19.62587973,,
Marin,WEDNESDAY,20,92.62166667,234,2359.89,119,110,68,25.47881165,,
Marin,WEDNESDAY,21,77.09666667,212,1907.6,112,86,69,24.74296338,,
Marin,WEDNESDAY,22,67.77972222,202,1544.29,109,78,70,22.78395292,,
Marin,WEDNESDAY,23,44.13583333,158,905.6,76,47,71,20.51847516,,
,,,3.468888889,18,,,,,0,,
